id,title,author,rating,review
1,To Kill a Mockingbird,Harper Lee,5,"This is a classic novel that everyone should read. The characters are memorable and the story is timeless."
2,The Great Gatsby,F. Scott Fitzgerald,4,"I enjoyed this book, but it's not my favorite. The writing is beautiful, but the characters are not very likable."
3,1984,George Orwell,5,"This book is a must-read for anyone interested in politics or dystopian fiction. It's a chilling portrayal of a totalitarian society."
4,Pride and Prejudice,Jane Austen,4,"This is a fun and engaging novel, but it's definitely a product of its time. The characters are charming, but the plot is predictable."
5,The Catcher in the Rye,J.D. Salinger,3,"I can understand why this book is a classic, but it wasn't really my thing. The protagonist is whiny and annoying."
6,To the Lighthouse,Virginia Woolf,4,"Woolf's writing is beautiful and poetic, but this book can be a bit challenging to read at times. The stream-of-consciousness style can be disorienting."
7,The Picture of Dorian Gray,Oscar Wilde,5,"This is a masterpiece of Victorian literature. The characters are complex and the themes are timeless. Highly recommended."
8,The Lord of the Rings,J.R.R. Tolkien,5,"Tolkien's epic fantasy trilogy is a must-read for anyone who loves adventure and world-building. The characters are memorable and the story is epic."
9,The Adventures of Huckleberry Finn,Mark Twain,3,"Twain's humor is on full display in this novel, but it can also be a bit cringe-worthy at times. The characters are memorable, but the plot is meandering."
10,One Hundred Years of Solitude,Gabriel Garcia Marquez,4,"This is a beautiful and surreal novel that explores the history of a fictional South American country. The characters are memorable, but the plot can be a bit confusing."
11,The Bell Jar,Sylvia Plath,4,"Plath's novel is a powerful exploration of mental illness and the challenges faced by women in the 1950s. The writing is beautiful, but the subject matter is heavy."
12,The Hitchhiker's Guide to the Galaxy,Douglas Adams,5,"This is a hilarious and irreverent sci-fi novel that pokes fun at the genre. Highly recommended for fans of satire and humor."
13,Beloved,Toni Morrison,5,"Morrison's novel is a haunting and powerful exploration of slavery and its aftermath. The characters are complex and the writing is beautiful."
14,The Road,Cormac McCarthy,4,"McCarthy's novel is a bleak and harrowing portrayal of a post-apocalyptic world. The writing is spare and powerful, but the plot can be a bit repetitive."
15,The Sun Also Rises,Ernest Hemingway,3,"This novel is a bit of a mixed bag. Hemingway's writing is beautiful, but the characters are not very likable and the plot is meandering."
